Student,LPIPS,SSIM
113590057.png,0.0,1.0
113590056.png,0.3021961748600006,0.6199720254478935
111590047.png,0.3132265508174896,0.6484877116266888
112590452.png,0.3277926743030548,0.6091588946238937
113590044.png,0.33085283637046814,0.5955830788526438
113590026.png,0.3331974744796753,0.667490096503181
113590033.png,0.338268518447876,0.631406101519125
114054809.png,0.34024015069007874,0.6316698161022625
113590031.png,0.3499770760536194,0.6268271027954967
113590062.png,0.3510986268520355,0.5854464260595479
113590011.png,0.36197149753570557,0.617798961110133
113590051.png,0.3676080107688904,0.6140542671373995
113590001.png,0.3738071918487549,0.5836284389250909
113AC1012.png,0.3762072026729584,0.5931735160952053
110590455.png,0.37855464220046997,0.6159097115767572
113370239.png,0.3803248405456543,0.6169553038683158
113590052.png,0.3808533549308777,0.5776132346633192
111590028.png,0.38370999693870544,0.6165076949516481
113590061.png,0.39158034324645996,0.6067749484747392
113590039.png,0.3952818810939789,0.6083927252742736
113590060.png,0.39661526679992676,0.6390971186424433
112590454.png,0.39940881729125977,0.5739568117065358
113590003.png,0.4006565809249878,0.595421995674542
113590006.png,0.4019329249858856,0.534534049935744
113590015.png,0.40559831261634827,0.6150221022910569
113590040.png,0.40731096267700195,0.620581118517164
113590059.png,0.40902143716812134,0.5355984847358162
113590045.png,0.41049546003341675,0.5422527871644368
113590022.png,0.4162822663784027,0.5719377487714072
113590036.png,0.4186859130859375,0.5675238816704984
113590010.png,0.4197205901145935,0.5812748293390986
113AB0018.png,0.4210723042488098,0.5522367713385622
113590047.png,0.4253457486629486,0.6841630963229568
111590062.png,0.4292578101158142,0.5914418848765376
113590021.png,0.4312957525253296,0.5705925754791095
112590040.png,0.43888524174690247,0.5540333612863847
113590032.png,0.4470287561416626,0.6237932400378073
113590002.png,0.4499534070491791,0.5558584421945013
113590004.png,0.45051273703575134,0.6791274470195335
112590455.png,0.45169150829315186,0.5791516090817197
113590018.png,0.45422592759132385,0.5332217718189539
113590050.png,0.45778512954711914,0.4777626368235323
113590049.png,0.46071910858154297,0.466404567544494
113590043.png,0.4626319110393524,0.68675407992914
113590023.png,0.4687686264514923,0.4730482518993974
113590028.png,0.46969497203826904,0.5001385777066947
113590025.png,0.470721960067749,0.6882781291797395
113590042.png,0.49605798721313477,0.5332717244676506
111590455.png,0.49745166301727295,0.49753896299675765
111590042.png,0.497531920671463,0.6888729704241288
113590008.png,0.5066622495651245,0.4201413441857153
112590058.jpg,0.5323715209960938,0.3818204614757011
